source,edge_id,osm_way_id,direction,node_count,first_node_id,last_node_id,highway,access_status,access_reason,structure_status,oneway,oneway_bicycle,junction,bicycle,access,vehicle,surface,smoothness,tracktype,bridge,tunnel,covered,layer,selected_for_profile,decision,reason
live,osm-way-96291294-reverse,96291294,reverse,8,61785723,61785717,secondary,admissible,highway=secondary cyclable by default,bridge,,,,,,,asphalt,excellent,,viaduct,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-98613479-forward,98613479,forward,2,1140874962,1140874476,path,review,highway=path carries no bicycle permission,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-98613479-reverse,98613479,reverse,2,1140874476,1140874962,path,review,highway=path carries no bicycle permission,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-105446060-forward,105446060,forward,2,1214614522,1214614607,residential,admissible,highway=residential cyclable by default,tunnel,,,,,,,asphalt,,,,yes,,-1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-105446060-reverse,105446060,reverse,2,1214614607,1214614522,residential,admissible,highway=residential cyclable by default,tunnel,,,,,,,asphalt,,,,yes,,-1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-105839525-forward,105839525,forward,2,1218736617,1218736608,footway,review,highway=footway carries no bicycle permission,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-105839525-reverse,105839525,reverse,2,1218736608,1218736617,footway,review,highway=footway carries no bicycle permission,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-105839529-forward,105839529,forward,3,1218736612,1218736617,footway,review,highway=footway carries no bicycle permission,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-105839529-reverse,105839529,reverse,3,1218736617,1218736612,footway,review,highway=footway carries no bicycle permission,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-105839531-forward,105839531,forward,3,9920528636,1218736612,footway,review,highway=footway carries no bicycle permission,bridge,,,,,,,,,,yes,,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-105839531-reverse,105839531,reverse,3,1218736612,9920528636,footway,review,highway=footway carries no bicycle permission,bridge,,,,,,,,,,yes,,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-105839533-forward,105839533,forward,2,1218736608,1218736594,footway,review,highway=footway carries no bicycle permission,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-105839533-reverse,105839533,reverse,2,1218736594,1218736608,footway,review,highway=footway carries no bicycle permission,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-107161941-forward,107161941,forward,10,1232095114,923980183,tertiary,admissible,highway=tertiary cyclable by default,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-107161941-reverse,107161941,reverse,10,923980183,1232095114,tertiary,admissible,highway=tertiary cyclable by default,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-107161943-forward,107161943,forward,7,898868462,5078603272,tertiary,admissible,highway=tertiary cyclable by default,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-107161943-reverse,107161943,reverse,7,5078603272,898868462,tertiary,admissible,highway=tertiary cyclable by default,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-107161944-forward,107161944,forward,6,1232095074,1232095080,tertiary,admissible,highway=tertiary cyclable by default,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-107161944-reverse,107161944,reverse,6,1232095080,1232095074,tertiary,admissible,highway=tertiary cyclable by default,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-119453059-forward,119453059,forward,2,873531735,1342245418,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-119453059-reverse,119453059,reverse,2,1342245418,873531735,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-119453636-forward,119453636,forward,2,469339343,861172492,residential,admissible,highway=residential cyclable by default,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-119453636-reverse,119453636,reverse,2,861172492,469339343,residential,admissible,highway=residential cyclable by default,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-119586229-forward,119586229,forward,2,1343186772,1343186673,track,review,highway=track carries no bicycle permission,bridge,,,,,,,ground,,grade2,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-119586229-reverse,119586229,reverse,2,1343186673,1343186772,track,review,highway=track carries no bicycle permission,bridge,,,,,,,ground,,grade2,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-119611336-forward,119611336,forward,2,1342236905,469338261,track,review,highway=track carries no bicycle permission,bridge,,,,,,,,,grade1,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-119611336-reverse,119611336,reverse,2,469338261,1342236905,track,review,highway=track carries no bicycle permission,bridge,,,,,,,,,grade1,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-119611341-forward,119611341,forward,5,61785736,1343315036,secondary,admissible,highway=secondary cyclable by default,bridge,,,,,,,asphalt,excellent,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-119611341-reverse,119611341,reverse,5,1343315036,61785736,secondary,admissible,highway=secondary cyclable by default,bridge,,,,,,,asphalt,excellent,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-119611351-forward,119611351,forward,2,1342259547,5022838716,path,review,highway=path carries no bicycle permission,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-119611351-reverse,119611351,reverse,2,5022838716,1342259547,path,review,highway=path carries no bicycle permission,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-119744553-forward,119744553,forward,2,1344325203,1344325220,track,review,highway=track carries no bicycle permission,bridge,no,,,,,,ground,,grade2,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-119744553-reverse,119744553,reverse,2,1344325220,1344325203,track,review,highway=track carries no bicycle permission,bridge,no,,,,,,ground,,grade2,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-122000404-forward,122000404,forward,2,1214599847,1364259294,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-122000404-reverse,122000404,reverse,2,1364259294,1214599847,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-122019455-forward,122019455,forward,3,1364428790,11189093501,footway,review,highway=footway carries no bicycle permission,stacked,,,,,,,,,,,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-122019455-reverse,122019455,reverse,3,11189093501,1364428790,footway,review,highway=footway carries no bicycle permission,stacked,,,,,,,,,,,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132605196-forward,132605196,forward,2,1458461848,810389949,tertiary,admissible,highway=tertiary cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132605196-reverse,132605196,reverse,2,810389949,1458461848,tertiary,admissible,highway=tertiary cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132668859-forward,132668859,forward,2,1459313321,1459313322,residential,admissible,highway=residential cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132668859-reverse,132668859,reverse,2,1459313322,1459313321,residential,admissible,highway=residential cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132668862-forward,132668862,forward,2,1459313413,1459313417,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132668862-reverse,132668862,reverse,2,1459313417,1459313413,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132668877-forward,132668877,forward,2,1459313415,1459313416,footway,review,highway=footway carries no bicycle permission,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132668877-reverse,132668877,reverse,2,1459313416,1459313415,footway,review,highway=footway carries no bicycle permission,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132668878-forward,132668878,forward,2,1459313390,1459313403,footway,review,highway=footway carries no bicycle permission,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132668878-reverse,132668878,reverse,2,1459313403,1459313390,footway,review,highway=footway carries no bicycle permission,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132675328-forward,132675328,forward,2,1459346833,1459346837,footway,review,highway=footway carries no bicycle permission,tunnel,,,,,,,,,,,yes,,-1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132675328-reverse,132675328,reverse,2,1459346837,1459346833,footway,review,highway=footway carries no bicycle permission,tunnel,,,,,,,,,,,yes,,-1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132676259-forward,132676259,forward,2,1459353786,1459353782,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132676259-reverse,132676259,reverse,2,1459353782,1459353786,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132695613-forward,132695613,forward,2,1140830577,1459649525,secondary,admissible,highway=secondary cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132695613-reverse,132695613,reverse,2,1459649525,1140830577,secondary,admissible,highway=secondary cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132695618-forward,132695618,forward,2,251671367,1459649566,primary,admissible,highway=primary cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132695618-reverse,132695618,reverse,2,1459649566,251671367,primary,admissible,highway=primary cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132699869-forward,132699869,forward,2,1459725889,1459725894,footway,review,highway=footway carries no bicycle permission,bridge,,,,,,,wood,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-132699869-reverse,132699869,reverse,2,1459725894,1459725889,footway,review,highway=footway carries no bicycle permission,bridge,,,,,,,wood,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-133322450-forward,133322450,forward,2,1467612669,1467612683,footway,review,highway=footway carries no bicycle permission,tunnel,,,,,,,rock,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-133322450-reverse,133322450,reverse,2,1467612683,1467612669,footway,review,highway=footway carries no bicycle permission,tunnel,,,,,,,rock,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-141773275-forward,141773275,forward,2,6060978447,1551837464,path,review,highway=path carries no bicycle permission,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-141773275-reverse,141773275,reverse,2,1551837464,6060978447,path,review,highway=path carries no bicycle permission,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-165523293-forward,165523293,forward,2,1770640409,312840931,primary,admissible,highway=primary cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-165523293-reverse,165523293,reverse,2,312840931,1770640409,primary,admissible,highway=primary cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-165523302-forward,165523302,forward,2,1770640515,1770640583,path,review,highway=path carries no bicycle permission,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-165523302-reverse,165523302,reverse,2,1770640583,1770640515,path,review,highway=path carries no bicycle permission,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-171335071-forward,171335071,forward,3,1823797120,1823797109,steps,review,highway=steps carries no bicycle permission,tunnel,,,,,,,,,,,,yes,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-171335071-reverse,171335071,reverse,3,1823797109,1823797120,steps,review,highway=steps carries no bicycle permission,tunnel,,,,,,,,,,,,yes,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-171335072-forward,171335072,forward,3,1823797113,1823797114,steps,review,highway=steps carries no bicycle permission,tunnel,,,,,,,,,,,,yes,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-171335072-reverse,171335072,reverse,3,1823797114,1823797113,steps,review,highway=steps carries no bicycle permission,tunnel,,,,,,,,,,,,yes,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-171335075-forward,171335075,forward,2,1823797110,1823797129,steps,review,highway=steps carries no bicycle permission,tunnel,,,,,,,wood,,,,,yes,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-171335075-reverse,171335075,reverse,2,1823797129,1823797110,steps,review,highway=steps carries no bicycle permission,tunnel,,,,,,,wood,,,,,yes,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-171347935-forward,171347935,forward,3,1823881822,1823881821,footway,review,highway=footway carries no bicycle permission,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-171347935-reverse,171347935,reverse,3,1823881821,1823881822,footway,review,highway=footway carries no bicycle permission,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-181438140-forward,181438140,forward,2,1918614419,1918614420,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-181438140-reverse,181438140,reverse,2,1918614420,1918614419,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-181438141-forward,181438141,forward,2,1918609328,1918614444,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-181438141-reverse,181438141,reverse,2,1918614444,1918609328,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-184653572-forward,184653572,forward,2,1217599028,332198260,residential,prohibited,access=private without bicycle override,bridge,,,,,private,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-184653572-reverse,184653572,reverse,2,332198260,1217599028,residential,prohibited,access=private without bicycle override,bridge,,,,,private,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-186897657-forward,186897657,forward,3,1976450679,1976450680,tertiary,admissible,highway=tertiary cyclable by default,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-186897657-reverse,186897657,reverse,3,1976450680,1976450679,tertiary,admissible,highway=tertiary cyclable by default,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-187047092-forward,187047092,forward,10,12827788130,1978031600,path,review,highway=path carries no bicycle permission,bridge,,,,,,,wood,,,boardwalk,,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-187047092-reverse,187047092,reverse,10,1978031600,12827788130,path,review,highway=path carries no bicycle permission,bridge,,,,,,,wood,,,boardwalk,,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-187047093-forward,187047093,forward,11,1978031958,1978031514,path,review,highway=path carries no bicycle permission,bridge,,,,,,,wood,,,boardwalk,,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-187047093-reverse,187047093,reverse,11,1978031514,1978031958,path,review,highway=path carries no bicycle permission,bridge,,,,,,,wood,,,boardwalk,,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-187050875-forward,187050875,forward,2,1978061651,1978061606,unclassified,admissible,highway=unclassified cyclable by default,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-187050875-reverse,187050875,reverse,2,1978061606,1978061651,unclassified,admissible,highway=unclassified cyclable by default,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-187050891-forward,187050891,forward,3,1978061690,1978061672,unclassified,admissible,highway=unclassified cyclable by default,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-187050891-reverse,187050891,reverse,3,1978061672,1978061690,unclassified,admissible,highway=unclassified cyclable by default,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-187055319-forward,187055319,forward,11,10919539381,1978070217,residential,admissible,highway=residential cyclable by default,stacked,,,,,,,asphalt,,,,,,-1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-187055319-reverse,187055319,reverse,11,1978070217,10919539381,residential,admissible,highway=residential cyclable by default,stacked,,,,,,,asphalt,,,,,,-1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
